date;thb_usd;thb_usd_ask;thb_usd_bid;thb_usd_high;thb_usd_low;eur_usd;jpy_usd;zar_usd;chicago_vix;oil_price;copper_price;gold_price;rice_price;corn_price;soybean_price;rubber_price;interbank_rate
02/01/2003;43,155;43,18;43,13;43,295;43,09;0,9654;120,08;8,4962;25,39;31,85;71,8;346,05;3,94;237;584,5;10975;
03/01/2003;42,995;43,02;42,97;43,18;42,955;0,959;119,63;8,4322;24,68;33,08;73,15;351,25;3,99;236;582,25;11295;
06/01/2003;42,83;42,84;42,82;43,16;42,75;0,9563;119,21;8,5322;24,91;32,1;73,9;351,25;4,1;235,75;582;11730;
07/01/2003;42,875;42,9;42,85;42,875;42,765;0,9608;120,48;8,6522;25,13;31,08;73,6;347,25;4,07;240;585,25;11405;
08/01/2003;42,655;42,68;42,63;42,905;42,65;0,9524;119,14;8,5472;25,53;30,56;74,65;353,63;4,15;245,25;589,5;11555;
09/01/2003;42,64;42,65;42,63;42,725;42,64;0,9539;119,37;8,5332;24,25;31,99;75,05;352,75;4,25;243,5;586,5;11810;
10/01/2003;42,785;42,8;42,77;42,86;42,7;0,9453;119,32;8,4922;24,32;31,68;74,45;354,75;4,15;234,75;564,75;12030;
13/01/2003;42,755;42,78;42,73;42,825;42,73;0,9487;118,99;8,645;24,9;32,26;75,25;354,55;4,14;230,5;560,25;12030;
14/01/2003;42,605;42,63;42,58;42,765;42,54;0,9477;118,15;8,825;24,57;32,37;76;351,35;4,2;231,25;555;11780;
15/01/2003;42,645;42,67;42,62;42,77;42,59;0,9468;118,1;8,7472;25,51;33,21;76,5;350,75;4,21;231,25;549,75;11945;
16/01/2003;42,655;42,68;42,63;42,73;42,645;0,9417;117,81;8,8377;25,01;33,66;76,1;357,45;4,2;230,75;549;;
17/01/2003;42,735;42,77;42,7;42,865;42,65;0,9363;117,83;8,8222;25,7;33,91;75,8;356,55;4,2;232,75;556,75;12265;
20/01/2003;42,785;42,81;42,76;42,858;42,7;0,9361;118,03;8,8672;25,7;33,91;75,8;355,75;4,2;232,75;556,75;12630;
21/01/2003;42,78;42,79;42,77;42,855;42,725;0,9329;118,16;9,0502;27,59;34,61;76,9;357,75;4,32;233,75;556;12780;
22/01/2003;42,735;42,76;42,71;42,815;42,69;0,9317;118,28;8,9602;29,01;32,85;77,3;361,85;4,3;234,75;560;12805;
23/01/2003;42,645;42,69;42,6;42,78;42,63;0,9306;118,12;8,7347;27,53;32,25;77;363,05;4,39;235,5;561,5;12790;
24/01/2003;42,655;42,67;42,64;42,71;42,628;0,9236;117,82;8,73;31,51;33,28;76,85;368,25;4,33;235,5;569;12830;
27/01/2003;42,68;42,72;42,64;42,73;42,56;0,9215;118,56;8,7397;34,69;32,29;76;369,65;4,37;235;567,25;13000;
28/01/2003;42,67;42,68;42,66;42,762;42,64;0,9243;118,77;8,7652;31,93;32,67;75,7;369,25;4,36;238,5;573,25;12845;
29/01/2003;42,645;42,67;42,62;42,708;42,6;0,9225;118,36;8,5652;31,26;33,63;76,5;365,95;4,265;235,5;561,25;13085;
30/01/2003;42,68;42,69;42,67;42,785;42,668;0,9253;118,96;8,5672;31,32;33,85;79,05;370,35;4,345;237;568,5;;
31/01/2003;42,76;42,78;42,74;42,795;42,698;0,9287;119,87;8,5152;31,17;33,51;79,45;368,15;4,43;238,25;564;;
03/02/2003;42,74;42,77;42,71;42,84;42,705;0,9265;120,29;8,54;31,02;32,76;78,9;371,05;4,435;236,75;568;;
04/02/2003;42,695;42,73;42,66;42,86;42,665;0,9186;119,66;8,2626;32,76;33,58;77,95;381,25;4,515;237,75;570,5;;
05/02/2003;42,76;42,76;42,76;42,78;42,665;0,9271;120,06;8,3673;33,04;33,93;77,9;371,75;4,585;236,75;563;;
06/02/2003;42,76;42,77;42,75;42,815;42,71;0,9229;119,8;8,3536;33,35;34,16;76,8;370,05;4,56;239;562,5;;
07/02/2003;42,915;42,94;42,89;42,93;42,78;0,9239;120,27;8,3463;34,01;35,12;76,35;369,75;4,63;239,75;555,75;;
10/02/2003;43,135;43,15;43,12;43,145;42,925;0,9326;121,31;8,4988;33,99;34,48;77,55;362,15;4,5;241,5;564,75;13090;
11/02/2003;43,095;43,12;43,07;43,215;42,99;0,9315;121,08;8,365;33,68;35,44;77,55;363,88;4,465;241,5;572;13045;
12/02/2003;42,98;43;42,96;43,1;42,938;0,9334;121,45;8,3952;34,33;35,77;77,1;352,75;4,405;239,25;563,25;13105;
13/02/2003;42,985;43,03;42,94;43,08;42,96;0,9231;120,56;8,2952;33,7;36,36;75;356,55;4,485;239,75;571,75;13480;
14/02/2003;43,085;43,1;43,07;43,12;42,96;0,9265;120,47;8,335;32,62;36,8;75,55;351,55;4,42;240,25;573;14035;
17/02/2003;43,2;43,25;43,15;43,2;43,075;0,9327;120,34;8,385;32,62;36,8;75,55;345,55;4,42;240,25;573;14370;
18/02/2003;43,02;43,03;43,01;43,205;42,965;0,9354;119,1;8,405;31,11;36,96;74;343,55;4,39;238,25;574;14450;
19/02/2003;43,02;43,03;43,01;43,05;42,955;0,9303;118,73;8,2336;31,31;37,16;74,6;349,45;4,4;235,25;571,75;14630;
20/02/2003;42,885;42,93;42,93;43,1;42,825;0,9241;118,34;8,0554;31,16;36,79;75,2;352,25;4,37;235,5;568,5;14665;
21/02/2003;42,875;42,9;42,85;42,93;42,765;0,9265;118,7;8,0291;30,25;35,58;77,75;351,35;4,58;231,75;574;14985;
24/02/2003;42,91;42,91;42,91;42,91;42,77;0,926;117,84;8,071;31,98;36,48;78,65;357,75;4,53;230,75;572,25;15215;
25/02/2003;42,73;42,73;42,73;42,875;42,655;0,9294;117,35;8,0719;31,74;36,06;77,95;351,85;4,455;232;576,25;14765;
26/02/2003;42,765;42,78;42,75;42,795;42,695;0,9263;117,17;8,1133;31,94;37,7;79,6;354,35;4,545;231,75;579,25;14290;
27/02/2003;42,655;42,68;42,63;42,785;42,555;0,9306;117,75;7,9951;30,53;37,2;78,8;345,45;4,575;230,25;581,5;14355;
28/02/2003;42,79;42,8;42,78;42,815;42,62;0,9253;118,1;8,08;29,63;36,6;77,5;349,95;4,53;231,75;577;14390;
03/03/2003;42,73;42,73;42,73;42,77;42,665;0,9181;117,63;8,0081;30,43;35,88;78,75;349,05;4,54;233,5;576,5;14145;
04/03/2003;42,65;42,66;42,64;42,7;42,585;0,9156;117,65;7,98;31,83;36,89;77,7;354,25;4,5;236;572,75;13980;
05/03/2003;42,54;42,55;42,53;42,68;42,453;0,9114;117,28;7,9477;30,38;36,69;76,05;353,55;4,47;236,75;568,5;13960;
06/03/2003;42,61;42,62;42,6;42,68;42,515;0,9117;117,4;7,9719;31,37;37;75,15;356,25;4,47;239,75;562,5;14345;
07/03/2003;42,51;42,53;42,49;42,685;42,463;0,9082;117,11;7,9337;31,08;37,78;76,65;350,75;4,64;239,75;564,5;14435;
10/03/2003;42,49;42,51;42,47;42,565;42,425;0,9044;116,84;7,8896;33,31;37,27;75,25;354,45;4,62;237,25;566,5;14035;
11/03/2003;42,485;42,52;42,45;42,535;42,395;0,9053;117,14;7,8826;33,61;36,72;76,15;350,65;4,7;236;572;14135;
12/03/2003;42,72;42,73;42,71;42,755;42,445;0,9098;117,38;8,025;33,51;37,83;75,3;345,75;4,67;237,5;566,75;;
13/03/2003;42,81;42,81;42,81;42,85;42,665;0,9272;118,55;8,1273;31,76;36,01;74,85;334,35;4,77;235,25;576;14415;
14/03/2003;42,725;42,75;42,7;42,815;42,715;0,9303;118,32;8,19;30,98;35,38;75,05;336,35;4,72;230;577,75;14515;
17/03/2003;42,765;42,79;42,74;42,795;42,595;0,9406;118,51;8,2359;31,75;34,93;76,8;336,55;4,74;229,75;568,25;14835;
18/03/2003;42,905;42,93;42,88;43,005;42,735;0,9401;118,87;8,1826;30,43;31,67;76,05;337,85;4,76;229,75;574;15015;
19/03/2003;43,03;43,04;43,02;43,05;42,86;0,9463;120,44;8,1471;31,54;29,88;77,35;336,45;4,89;231,5;570,5;14975;
20/03/2003;42,984;42,998;42,97;43,065;42,84;0,942;120,32;8,1151;30,44;28,61;76,5;332,25;4,84;233,75;574,5;14885;
21/03/2003;43,05;43,06;43,04;43,09;42,88;0,9501;121,69;8,2121;28,67;26,91;77,55;326,05;5,095;231,5;576,75;14905;
24/03/2003;42,895;42,91;42,88;43,075;42,88;0,9395;120,74;8,102;30,39;28,66;76,55;329,65;5,06;229;569,75;15015;
25/03/2003;42,835;42,86;42,81;42,935;42,765;0,9383;120,07;7,9926;28,75;27,97;76,75;328,55;5,01;228,25;573,5;15230;
26/03/2003;42,93;42,94;42,92;42,935;42,805;0,935;119,94;7,8987;28,23;28,63;74,9;330,25;5,01;228;569;15140;
27/03/2003;42,845;42,87;42,82;42,945;42,73;0,9357;119,97;7,9502;27,96;30,37;72,9;329,25;5,04;228,75;580,25;15190;
28/03/2003;42,935;42,95;42,92;43,01;42,845;0,9277;119,89;7,985;27,75;30,16;72,8;331,85;5,21;227,75;580;15025;
31/03/2003;42,84;42,86;42,82;42,975;42,825;0,9161;118,09;7,8651;29,15;31,04;71,45;337,45;5,12;236,5;574,5;14850;
01/04/2003;42,845;42,86;42,83;42,905;42,825;0,9154;117,92;7,8581;28,36;29,78;72,45;334,95;5,225;239,5;573,75;15190;
02/04/2003;42,965;42,99;42,94;42,975;42,835;0,9285;118,96;7,94;28,02;28,56;71,85;329,95;5,32;240,25;586,75;15305;
03/04/2003;43,07;43,09;43,05;43,08;42,885;0,9292;119,37;7,9375;28,21;28,97;71,1;325,25;5,18;238,75;585,25;15410;
04/04/2003;43,09;43,1;43,08;43,155;43,035;0,9313;120;7,9625;29,13;28,62;71,8;325,55;5,335;239;590,75;15110;
07/04/2003;43,225;43,3;43,15;43,29;43,09;0,935;119,73;7,945;28,45;27,96;72,85;323,05;5,56;243,25;598,75;14255;
08/04/2003;43,08;43,08;43,08;43,195;43,04;0,9335;119,88;8,0079;27,13;28;72,25;322,75;5,665;242,75;601;13630;
09/04/2003;43,03;43,07;42,99;43,1;42,94;0,9281;120,09;7,9351;27,11;28,85;71,9;326,85;5,89;242;604;13630;
10/04/2003;42,84;42,85;42,83;43,025;42,825;0,9274;119,67;7,7801;25,6;27,46;71,45;326,55;5,935;238,75;601;12265;
11/04/2003;42,98;42,99;42,97;43,01;42,805;0,9301;120,55;7,7884;24,44;28,14;72,55;328,05;5,705;239,25;600,25;12010;
14/04/2003;42,97;42,97;42,97;43,015;42,885;0,9282;120,33;7,8096;23,41;28,63;72,45;324,85;5,73;239,25;607,75;12000;
15/04/2003;42,925;42,95;42,92;42,935;42,825;0,926;120,32;7,6783;22,56;29,29;73,4;324,95;5,88;241,75;610,5;11655;
16/04/2003;42,9;42,91;42,89;42,975;42,81;0,9167;119,6;7,6409;22,52;29,18;73,4;326,45;5,88;239,25;609,25;;
17/04/2003;42,74;42,74;42,74;42,825;42,66;0,9189;119,65;7,6242;21,5;30,55;73,75;327,15;5,94;240,75;622;11930;
18/04/2003;42,75;42,8;42,7;42,775;42,73;0,9192;119,77;7,5995;21,5;30,55;73,75;325,95;5,94;240,75;622;11880;
21/04/2003;42,715;42,74;42,69;42,75;42,68;0,9197;120,51;7,64;21,95;30,87;72,9;333,55;5,93;238,75;616,5;11545;
22/04/2003;42,76;42,76;42,71;42,825;42,648;0,9111;119,95;7,5381;20,7;29,91;72,15;332,95;5,99;238,75;610;11680;
23/04/2003;42,765;42,77;42,76;42,81;42,695;0,912;120,37;7,3706;20,8;26,65;72,35;331,25;6,01;238,75;603;11850;
24/04/2003;42,7;42,8;42,6;42,845;42,7;0,9063;120,01;7,2609;20,33;26,64;71,55;334,45;6,15;237,25;602,5;11795;
25/04/2003;43,04;43,04;43,04;43,05;42,77;0,9061;120,21;7,2229;20,8;26,26;71,55;333,25;6,205;234,75;599;11840;
28/04/2003;42,93;42,94;42,93;43,035;42,885;0,9103;120,46;7,1896;20,84;25,49;71,4;333,85;6,45;231,75;605;11915;
29/04/2003;42,87;42,91;42,83;42,96;42,805;0,9026;119,77;7,1029;20,76;25,24;72,35;334,25;6,635;231,75;620,75;11945;
30/04/2003;42,855;42,88;42,87;42,905;42,76;0,8942;118,88;7,248;21,21;25,8;72,5;338,55;6,24;232,75;623,5;11860;
01/05/2003;42,815;42,83;42,8;42,815;42,77;0,8902;118,6;7,2459;21,59;26,03;72,45;341,75;6,255;233,25;625,75;;
02/05/2003;42,77;42,79;42,75;42,895;42,735;0,8906;119,07;7,451;20,63;25,67;71,5;340,95;6,37;234,75;626,25;;
05/05/2003;42,635;42,67;42,6;42,79;42,63;0,8855;118,55;7,1806;21,13;26,49;71,35;342,25;6,5;239;623,75;;
06/05/2003;42,6;42,6;42,6;42,685;42,51;0,8739;117,57;7,2733;20,8;25,72;71,9;344,25;6,56;240,5;625;;
07/05/2003;42,47;42,47;42,47;42,595;42,4;0,8806;116,44;7,2229;21;26,23;73,05;342,05;6,75;245,75;623;;
08/05/2003;42,57;42,59;42,55;42,645;42,385;0,8706;117,1;7,1959;21,24;26,98;73,6;348,65;6,415;245,75;621,25;;
09/05/2003;42,565;42,58;42,55;42,635;42,495;0,8707;117,4;7,2799;19,69;27,72;73,4;348,55;6,3;254,75;636,25;;
12/05/2003;42,38;42,38;42,38;42,575;42,325;0,8648;117,02;7,2683;19,52;27,35;74,75;351,25;6,37;252,75;642,25;11705;
13/05/2003;42,36;42,38;42,37;42,485;42,295;0,8675;116,78;7,3683;19,91;28,5;76;349,85;6,18;252,75;642,5;11930;
14/05/2003;42,15;42,15;42,15;42,435;42,1;0,8708;116,27;7,655;20;29,17;75,65;352,45;5,95;256;643,5;12275;
15/05/2003;42,08;42,11;42,05;42,2;41,985;0,8785;116,54;8,0007;19,24;28,74;75,7;351,95;6,12;255,75;648,75;12430;
16/05/2003;42,13;42,13;42,13;42,24;42,035;0,8627;116,08;7,6706;18,4;29,14;75,75;354,75;6,06;254,25;642;;
19/05/2003;42,03;42,03;42,03;42,13;41,925;0,8578;117,15;7,8984;20,51;28,83;76,05;366,25;5,86;246,75;637;13175;
20/05/2003;42,01;42,01;42,01;42,155;41,97;0,8535;116,65;7,7884;21,29;29,28;76;367,95;5,82;246,75;642,75;12750;
21/05/2003;41,952;41,972;41,932;42,03;41,865;0,8596;117,61;7,8209;21,21;29,03;76,75;371,55;5,92;245,5;640;12960;
22/05/2003;42,05;42,1;42;42,155;41,885;0,8553;117,22;7,7845;19,78;28,85;76,45;367,05;5,855;243,75;626,75;12730;
23/05/2003;41,83;41,85;41,81;42,1;41,83;0,845;116,91;7,8654;19,17;29,16;76,4;368,75;5,91;243,75;628,25;12835;
26/05/2003;41,77;41,78;41,76;41,942;41,74;0,8422;116,88;7,8854;19,17;29,16;76,4;370,35;5,91;243,75;628,25;12810;
27/05/2003;41,645;41,67;41,62;41,83;41,555;0,846;117,27;8,0907;19,99;29,35;77,5;366,25;6,11;242;630,5;13110;
28/05/2003;41,69;42,27;41,79;41,83;41,635;0,8504;118,58;8,193;20,03;28,58;76,7;365,05;6,1;241,25;623;13235;
29/05/2003;41,82;41,83;41,81;41,91;41,705;0,8397;118,02;7,965;20,43;29,1;77,25;369,25;5,99;245;630;13095;
30/05/2003;41,75;41,76;41,74;41,855;41,66;0,8482;119,3;8,083;19,47;29,56;78,25;364,45;5,87;244,25;624,5;12690;
02/06/2003;41,695;41,72;41,67;41,825;41,615;0,85;118,59;8,0154;20,85;30,71;79;365,85;5,84;241,5;612,5;12755;
03/06/2003;41,671;41,681;41,6;41,745;41,505;0,8526;119,22;8,03;20,84;30,67;78,4;365,25;5,94;240;610,25;12860;
04/06/2003;41,655;41,66;41,65;41,715;41,57;0,8589;118,91;8,1706;20,62;30,05;78,05;361,28;5,965;237,5;615,25;12990;
05/06/2003;41,585;41,6;41,57;41,675;41,425;0,8442;117,65;7,94;20,83;30,74;78,25;368,75;5,885;235,75;618,75;12940;
06/06/2003;41,65;41,65;41,65;41,68;41,46;0,8547;118,66;8,0876;21,25;31,28;78,3;363,75;5,81;238,75;631,5;13150;
