volatility_model,distribution,KS_normalized_innovations,KS_normalized_innovations_pvalues,KS_PIT_test,KS_PIT_test_pvalues,Rossi_Shekopysan_PIT_test_tails,Rossi_Shekopysan_PIT_test_left_tail,Rossi_Shekopysan_PIT_test_right_tail,log_score,tails_log_score,left_tail_log_score,right_tail_log_score
Constant,Normal,False,6.725815715597491e-23,False,6.725815715597491e-23,False,False,False,-4.436694686347562,-1.2449765830770867,-0.8863391192515345,-0.9237526390743142
ARCH,Normal,False,4.3357825551075416e-16,False,4.3357825551075416e-16,False,False,False,-4.436148669018249,-1.0701396824373,-0.8030790111936343,-0.8579586826494057
EGARCH,Normal,False,1.573267933977002e-10,False,1.573267933977002e-10,False,False,False,-4.389795502088627,-1.0938702565550995,-0.8165519386355458,-0.8719195113884096
GARCH,Normal,False,3.075527813884097e-08,False,3.075527813884097e-08,False,False,False,-4.385933297245503,-1.0933645667438707,-0.8229302557750823,-0.8737081345428298
GJR-GARCH,Normal,False,2.905761183473753e-08,False,2.905761183473753e-08,False,False,False,-4.385919377869327,-1.0933558282197082,-0.8228846562593546,-0.8737449955344003
RiskMetric,Normal,False,1.3431231903791853e-07,False,1.3431231903791853e-07,False,False,False,-4.359426696156816,-1.1268652929830492,-0.8470211116903006,-0.8960731382482805
EWMA,Normal,False,1.1758067223546069e-05,False,1.1758067223546069e-05,False,False,False,-4.351243397119936,-1.1497109727361583,-0.8635796466903332,-0.9052468025595877
GJR-GARCH,SkewStudent,False,0.00715859196236737,False,0.00715859196236737,False,False,False,-4.145921448999647,-1.3260479869971522,-1.010682883228064,-1.0439784570902073
GARCH,SkewStudent,False,0.01830536612659452,False,0.01830536612659452,False,False,False,-4.1453411889822664,-1.3270243273134723,-1.006237980534205,-1.0499130901619205
GJR-GARCH,StudentT,False,0.0040162036023183405,False,0.0040162036023183405,False,False,False,-4.1438589623235575,-1.324831775222632,-0.996277840065687,-1.0549237764592332
GARCH,StudentT,False,0.010418495687329754,False,0.010418495687329754,False,False,False,-4.143625653270102,-1.3301767500179813,-0.9937153330224765,-1.066933401876201
EGARCH,SkewStudent,False,0.034446328580219454,False,0.034446328580219454,False,False,False,-4.143609719023754,-1.3279541405049482,-1.0049667291779525,-1.0467703015420888
EGARCH,StudentT,False,0.019142247586356086,False,0.019142247586356086,False,False,False,-4.140904386439924,-1.3341379895784167,-0.9951313509565624,-1.065780263292496
ARCH,SkewStudent,False,3.265987694680186e-09,False,3.265987694680186e-09,False,False,False,-4.073316529837566,-1.4135876584180025,-1.0621492056876878,-1.1314482152502725
ARCH,StudentT,False,4.8460724812762945e-09,False,4.8460724812762945e-09,False,False,False,-4.072836434623479,-1.415510498281463,-1.05882996315808,-1.1378086644542325
GJR-GARCH,GeneralizedError,False,0.003890964084253847,False,0.003890964084253847,False,False,False,-3.96505970512961,-1.3741176669301536,-1.0226808316495908,-1.0972005979675639
GARCH,GeneralizedError,False,0.006293132330138501,False,0.006293132330138501,False,False,False,-3.9649704354913218,-1.3763248147853915,-1.021550763461003,-1.1024544866048311
EGARCH,GeneralizedError,False,0.004833974018279103,False,0.004833974018279103,False,False,False,-3.9585419892060596,-1.3759607837888725,-1.0162662608703257,-1.09968653672146
EWMA,GeneralizedError,False,0.0164753199362383,False,0.0164753199362383,False,False,False,-3.9388693412457956,-1.4150669764422836,-1.0521012703013328,-1.1226310639981631
ARCH,GeneralizedError,False,5.350907412795479e-09,False,5.350907412795479e-09,False,False,False,-3.864768674627639,-1.4511166615521225,-1.0757715384162048,-1.1612171786158199
EWMA,SkewStudent,True,0.07043059391007422,True,0.07043059391007422,False,False,False,-4.128898940521276,-1.355821920538403,-1.0190520813386388,-1.0737281455311156
EWMA,StudentT,True,0.10318327318379705,True,0.10318327318379705,False,False,False,-4.126914106125105,-1.3578222656256373,-1.0127687769920233,-1.0831239332953966
Constant,SkewStudent,True,0.06611901780963492,True,0.06611901780963492,False,False,False,-4.051659833351305,-1.5246541719893232,-1.091430118035202,-1.167838734837986
Constant,StudentT,True,0.07047849321694066,True,0.07047849321694066,False,False,False,-4.05160289422265,-1.5238615977002559,-1.08881006719054,-1.1689463656748385
RiskMetric,SkewStudent,True,0.22384021737708293,True,0.22384021737708293,True,True,True,-4.129750099224131,-1.3724655039044913,-1.0161363816386253,-1.0913417641459444
RiskMetric,StudentT,True,0.5503269717239151,True,0.5503269717239151,True,True,True,-4.128827884319483,-1.3722674726854207,-1.009332177343689,-1.0972427006340497
RiskMetric,GeneralizedError,True,0.24711265118325598,True,0.24711265118325598,True,True,True,-3.9484795614330825,-1.4100817498841798,-1.0381167914726914,-1.1252651586688531
Constant,GeneralizedError,True,0.9330436130694726,True,0.9330436130694726,True,True,True,-3.866217167905142,-1.5334988273931411,-1.097325111174024,-1.1769579829879344
