date,amount,direction,type,sell_amount
10/9/2008,0,sell USD,min price,
10/10/2008,400,sell USD,min price,400
10/13/2008,0,sell USD,min price,
10/14/2008,0,sell USD,min price,
10/15/2008,400,sell USD,min price,400
10/16/2008,400,sell USD,min price,400
10/17/2008,0,sell USD,min price,
10/20/2008,0,sell USD,min price,
10/21/2008,400,sell USD,min price,400
10/22/2008,400,sell USD,min price,400
10/23/2008,96,sell USD,min price,96
10/24/2008,0,sell USD,min price,
10/27/2008,0,sell USD,min price,
10/28/2008,0,sell USD,min price,
10/29/2008,0,sell USD,min price,
10/30/2008,0,sell USD,min price,
10/31/2008,0,sell USD,min price,
11/3/2008,0,sell USD,min price,
11/4/2008,0,sell USD,min price,
11/5/2008,0,sell USD,min price,
11/6/2008,400,sell USD,min price,400
11/7/2008,0,sell USD,min price,
11/10/2008,0,sell USD,min price,
11/11/2008,85,sell USD,min price,85
11/12/2008,0,sell USD,min price,
11/13/2008,0,sell USD,min price,
11/14/2008,0,sell USD,min price,
11/18/2008,0,sell USD,min price,
11/19/2008,0,sell USD,min price,
11/20/2008,400,sell USD,min price,400
11/21/2008,400,sell USD,min price,400
11/24/2008,0,sell USD,min price,
11/25/2008,0,sell USD,min price,
11/26/2008,0,sell USD,min price,
11/27/2008,0,sell USD,min price,
11/28/2008,0,sell USD,min price,
12/1/2008,400,sell USD,min price,400
12/2/2008,0,sell USD,min price,
12/3/2008,0,sell USD,min price,
12/4/2008,0,sell USD,min price,
12/5/2008,0,sell USD,min price,
12/8/2008,0,sell USD,min price,
12/9/2008,0,sell USD,min price,
12/10/2008,0,sell USD,min price,
12/11/2008,0,sell USD,min price,
12/15/2008,351,sell USD,min price,351
12/16/2008,0,sell USD,min price,
12/17/2008,0,sell USD,min price,
12/18/2008,0,sell USD,min price,
12/19/2008,0,sell USD,min price,
12/22/2008,0,sell USD,min price,
12/23/2008,0,sell USD,min price,
12/24/2008,0,sell USD,min price,
12/26/2008,0,sell USD,min price,
12/29/2008,46,sell USD,min price,46
12/30/2008,0,sell USD,min price,
12/31/2008,0,sell USD,min price,
1/2/2009,0,sell USD,min price,
1/5/2009,0,sell USD,min price,
1/6/2009,0,sell USD,min price,
1/7/2009,0,sell USD,min price,
1/8/2009,266,sell USD,min price,266
1/9/2009,0,sell USD,min price,
1/12/2009,0,sell USD,min price,
1/13/2009,0,sell USD,min price,
1/14/2009,400,sell USD,min price,400
1/15/2009,0,sell USD,min price,
1/16/2009,0,sell USD,min price,
1/19/2009,0,sell USD,min price,
1/20/2009,0,sell USD,min price,
1/21/2009,0,sell USD,min price,
