date,mxn_usd_spot,mxn_fwd_1m,min_max_spread,bid_ask_spread,mxn_interbank_1m,mxn_sov_10y,usa_libor_1m,usa_sov_10y,vix,oil_prices,eur_usd_spot
1/1/1990,2.6835,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.375,7.935,#N/A N/A,21.82,#N/A N/A
1/2/1990,2.677,#N/A N/A,0.007,0,#N/A N/A,#N/A N/A,8.375,7.93,17.24,22.89,#N/A N/A
1/3/1990,2.677,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.375,7.974,18.19,23.68,#N/A N/A
1/4/1990,2.677,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,7.972,19.22,23.41,#N/A N/A
1/5/1990,2.677,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.375,7.984,20.11,23.08,#N/A N/A
1/8/1990,2.682,#N/A N/A,0.005,0,#N/A N/A,#N/A N/A,8.3125,8.012,20.26,21.62,#N/A N/A
1/9/1990,2.682,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.25,8.009,22.2,22.07,#N/A N/A
1/10/1990,2.682,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.25,8.014,22.44,22.9,#N/A N/A
1/11/1990,2.682,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.25,8.044,20.05,23.14,#N/A N/A
1/12/1990,2.682,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.25,8.096,24.64,23.13,#N/A N/A
1/15/1990,2.7,#N/A N/A,0.018,0,#N/A N/A,#N/A N/A,8.3125,8.113,26.34,22.36,#N/A N/A
1/16/1990,2.7,#N/A N/A,0.018,0,#N/A N/A,#N/A N/A,8.375,8.196,24.18,22.78,#N/A N/A
1/17/1990,2.7,#N/A N/A,0.018,0,#N/A N/A,#N/A N/A,8.375,8.191,24.16,22.1,#N/A N/A
1/18/1990,2.7,#N/A N/A,0.018,0,#N/A N/A,#N/A N/A,8.375,8.303,24.34,22.76,#N/A N/A
1/19/1990,2.7,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.232,22.5,23.67,#N/A N/A
1/22/1990,2.704,#N/A N/A,0.004,0,#N/A N/A,#N/A N/A,8.3125,8.27,26.7,22.55,#N/A N/A
1/23/1990,2.704,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.349,24.72,21.6,#N/A N/A
1/24/1990,2.704,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.366,25.39,21.59,#N/A N/A
1/25/1990,2.704,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.413,25.63,22.24,#N/A N/A
1/26/1990,2.704,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.464,26.28,22.56,#N/A N/A
1/29/1990,2.71,#N/A N/A,0.006,0,#N/A N/A,#N/A N/A,8.25,8.535,26.44,22.8,#N/A N/A
1/30/1990,2.71,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.501,27.25,22.46,#N/A N/A
1/31/1990,2.71,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.418,25.36,22.68,#N/A N/A
2/1/1990,2.71,#N/A N/A,0,0,#N/A N/A,#N/A N/A,8.3125,8.413,24.87,22.7,#N/A N/A
2/2/1990,2.7101,#N/A N/A,1.00E-04,0,#N/A N/A,#N/A N/A,8.25,8.494,24.32,23.02,#N/A N/A
2/5/1990,2.7181,#N/A N/A,0.0081,0,#N/A N/A,#N/A N/A,8.4375,8.519,24.54,22.39,#N/A N/A
